group,case,metric,profile,threads,baseline,proposed,paired_algorithm_speedup,paired_batch_total_speedup
B,random_n12_00,min,natural,1,bitwise,proposed,3.6431727797104005,3.5042397066959876
B,random_n12_00,min,natural,2,bitwise,proposed,4.652242012750276,4.472452098279556
B,random_n12_00,min,natural,4,bitwise,proposed,4.459388453584972,4.27456415270991
B,random_n12_00,min,natural,8,bitwise,proposed,3.552436892105075,3.381151046485241
B,random_n12_00,min,natural,16,bitwise,proposed,5.852974402438055,5.6387289797379525
B,random_n12_00,min,natural,32,bitwise,proposed,28.21624912132145,26.69386682322126
B,random_n12_00,min,natural,64,bitwise,proposed,80.81310074583209,75.00815551199072
B,random_n12_00,spectrum,natural,1,bitwise,proposed,3.1476603625411816,2.5462345195343965
B,random_n12_00,spectrum,natural,2,bitwise,proposed,4.284257932315162,3.5639723016337985
B,random_n12_00,spectrum,natural,4,bitwise,proposed,3.850422354205957,3.0913304362689105
B,random_n12_00,spectrum,natural,8,bitwise,proposed,4.856403840801618,3.8105448374413493
B,random_n12_00,spectrum,natural,16,bitwise,proposed,1.55805337412985,1.3186907972888655
B,random_n12_00,spectrum,natural,32,bitwise,proposed,1.1257032750927987,1.052553422176561
B,random_n12_00,spectrum,natural,64,bitwise,proposed,1.1208378707880038,1.0644334007580418
B,random_n12_01,max,natural,1,bitwise,proposed,10.789119772620925,8.461635585993536
