group,case,metric,profile,method,binary,threads,core_speedup,core_q1,core_q3,total_speedup,total_q1,total_q3
A,random_n16_00,max,natural,reference-proposed,coam,2,0.9229539641943734,0.8248833901916217,2.0170483294536394,1.0600457567770705,1.0529042462317437,1.0614565367053053
A,random_n16_00,max,natural,reference-proposed,coam,4,0.966521593572146,0.8560981670282874,2.412915239663365,1.3205076862772025,1.3052079170528315,1.3273310777621652
A,random_n16_00,max,natural,reference-proposed,coam,8,0.9055834378920954,0.8585024186636505,2.242945464448174,1.5514134969877658,1.544020113882384,1.5600293658087456
A,random_n16_00,max,natural,reference-proposed,coam,16,0.5759465478841871,0.5687006173882234,1.2824308425410398,1.6569924982500972,1.6428002826409975,1.670163381157077
A,random_n16_00,max,natural,reference-proposed,coam,32,0.6329752247314185,0.5858065042632306,1.267730442193625,1.597010993598916,1.593862774047667,1.5996859751023251
A,random_n16_00,max,natural,reference-proposed,coam,64,0.6331140350877194,0.5699870449840791,1.5297026615252385,1.6268052642831492,1.6063691876800608,1.6344321075672652
A,random_n16_00,min,static,reference,coam,1,1.0,1.0,1.0,1.0,1.0,1.0
A,random_n16_00,min,static,reference,coam,2,2.3733991357225683,2.3708767979037537,2.374760351959143,2.3718902825538555,2.3694213925421685,2.373265680562059
A,random_n16_00,min,static,reference,coam,4,4.622452026851264,4.619515900401488,4.623629734824088,4.616042047018154,4.613433516306891,4.617258920346717
A,random_n16_00,min,static,reference,coam,8,9.038717881059318,9.025743457782792,9.039897365491193,9.010775881170314,8.998043223880753,9.012192164670484
A,random_n16_00,min,static,reference,coam,16,17.5372943965435,17.5342448812996,17.60021290431922,17.438703222415832,17.43613666341701,17.500801197018575
A,random_n16_00,min,static,reference,coam,32,34.382092633389846,34.308124635450376,34.39488474169505,33.99638215864156,33.912195499218,33.99701686469707
A,random_n16_00,min,static,reference,coam,64,65.54659417346161,65.49248489736044,65.97138851838594,63.8077986595599,63.799931388601046,64.21786197475018
A,random_n16_00,min,static,reference-proposed,coam,1,1.0,1.0,1.0,1.0,1.0,1.0
A,random_n16_00,min,static,reference-proposed,coam,2,0.9418121277993337,0.9379594311403618,0.9447632312438778,0.9452659915680529,0.9438808265955256,0.958404230064676
A,random_n16_00,min,static,reference-proposed,coam,4,1.5493588749272298,1.5439344220626405,1.5560714885440552,1.3143373037084483,1.3061791214961405,1.3211823844592008
A,random_n16_00,min,static,reference-proposed,coam,8,2.2214747034032447,2.2159685176394186,2.2280737691116155,1.6592423248129946,1.639704856600193,1.6600774515094274
A,random_n16_00,min,static,reference-proposed,coam,16,1.9667081142522553,1.9575683306014573,2.007432623797151,1.6856336343036824,1.6698097313907183,1.6923841133923903
A,random_n16_00,min,static,reference-proposed,coam,32,1.954374660263302,1.8411795421493233,1.9571597007193535,1.6389491053972602,1.5809310564095356,1.6497802642181343
